epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.772,0.83655,1.91848,1.33438,0.81735,0.65744,0.73292,0.40934,1.25544,2.79954,1.71139,0.000546847,0.000546847,0.000546847
2,1140.39,0.8834,1.48319,1.36121,0.3993,0.67645,0.36896,0.15644,1.69431,3.25543,2.31003,0.00108068,0.00108068,0.00108068
3,1700.39,0.92057,1.45259,1.3849,0.40591,0.61807,0.39362,0.18811,1.73086,2.57557,2.09629,0.00159252,0.00159252,0.00159252
4,2255.61,0.89979,1.34895,1.37268,0.67357,0.6454,0.70707,0.50367,1.21126,1.8365,1.6634,0.00156798,0.00156798,0.00156798
5,2751,0.85986,1.29005,1.35797,0.55321,0.60846,0.53099,0.1974,1.69045,2.29785,2.25864,0.00153497,0.00153497,0.00153497
6,3167.72,0.8668,1.21143,1.3496,0.7618,0.71574,0.78122,0.57169,1.24571,1.48199,1.61193,0.00150197,0.00150197,0.00150197
7,3565.86,0.85212,1.13626,1.32681,0.61242,0.6816,0.6491,0.33996,1.47876,1.73408,1.75635,0.00146896,0.00146896,0.00146896
8,3969.35,0.84275,1.13945,1.32866,0.82912,0.74066,0.81139,0.50683,1.37043,1.25801,1.6746,0.00143595,0.00143595,0.00143595
9,4367.8,0.76228,1.01817,1.26881,0.83272,0.70409,0.7635,0.53816,1.2388,1.33985,1.59961,0.00140295,0.00140295,0.00140295
10,4882.19,0.7837,1.01948,1.28259,0.80464,0.77542,0.83072,0.63168,1.06996,1.13894,1.42091,0.00136994,0.00136994,0.00136994
11,5393.98,0.76134,1.02878,1.27039,0.74849,0.74425,0.76588,0.49826,1.30436,1.3783,1.55866,0.00133693,0.00133693,0.00133693
12,5940.44,0.75675,0.96575,1.26529,0.82867,0.7883,0.84223,0.60927,1.17403,1.08169,1.49784,0.00130393,0.00130393,0.00130393
13,6443.84,0.73302,0.9146,1.23445,0.85573,0.78985,0.86529,0.65292,1.06456,1.03082,1.41073,0.00127092,0.00127092,0.00127092
14,7004.68,0.74568,0.93069,1.25562,0.89019,0.73821,0.84799,0.65574,1.06366,1.03325,1.37937,0.00123791,0.00123791,0.00123791
15,7560.24,0.71486,0.88711,1.24024,0.86073,0.81173,0.86818,0.65107,1.02167,1.05335,1.36355,0.00120491,0.00120491,0.00120491
16,8003.06,0.68122,0.84888,1.21728,0.83474,0.78734,0.8674,0.65554,1.04966,0.92322,1.33595,0.0011719,0.0011719,0.0011719
17,8410.31,0.70703,0.86049,1.22328,0.85949,0.814,0.87825,0.68355,0.98468,0.9401,1.30665,0.00113889,0.00113889,0.00113889
18,8814.06,0.7194,0.8337,1.22536,0.87657,0.80307,0.87867,0.66861,0.98269,0.84505,1.28364,0.00110589,0.00110589,0.00110589
19,9217.47,0.70725,0.8627,1.20999,0.84818,0.81739,0.85856,0.64089,1.00183,0.92226,1.31963,0.00107288,0.00107288,0.00107288
20,9620.83,0.66084,0.82061,1.19958,0.87928,0.74135,0.84093,0.6401,1.05673,0.98348,1.3776,0.00103987,0.00103987,0.00103987
21,10026.5,0.65258,0.78902,1.19538,0.83169,0.81965,0.87291,0.69984,0.95351,0.89319,1.28474,0.00100687,0.00100687,0.00100687
22,10430.7,0.66284,0.76044,1.18543,0.83458,0.84224,0.89031,0.6956,0.93813,0.82551,1.24993,0.000973861,0.000973861,0.000973861
23,10833.5,0.64802,0.7859,1.19254,0.83305,0.79206,0.87165,0.68903,1.03007,0.9644,1.38365,0.000940855,0.000940855,0.000940855
24,11239,0.63726,0.74253,1.16252,0.81629,0.8231,0.86377,0.66643,1.00901,0.90365,1.3071,0.000907848,0.000907848,0.000907848
25,11652.6,0.64625,0.72664,1.16441,0.82615,0.87813,0.90847,0.70436,0.94355,0.76356,1.25099,0.000874842,0.000874842,0.000874842
26,12063.7,0.6011,0.70341,1.14749,0.8996,0.83244,0.90539,0.69874,0.89877,0.74166,1.19637,0.000841835,0.000841835,0.000841835
27,12479.6,0.63615,0.70824,1.17942,0.82838,0.85083,0.90157,0.71818,0.94567,0.76947,1.21776,0.000808828,0.000808828,0.000808828
28,12892.2,0.60731,0.67377,1.14833,0.90783,0.82932,0.90929,0.73455,0.90108,0.75012,1.20015,0.000775822,0.000775822,0.000775822
29,13304.2,0.62555,0.66774,1.15641,0.87386,0.84187,0.89643,0.72825,0.86781,0.78041,1.14352,0.000742815,0.000742815,0.000742815
30,13722.3,0.61794,0.68537,1.15454,0.88359,0.85665,0.92248,0.74671,0.89268,0.71864,1.18756,0.000709809,0.000709809,0.000709809
31,14139.4,0.59665,0.65193,1.14315,0.9096,0.84633,0.90756,0.73059,0.93745,0.7284,1.19133,0.000676802,0.000676802,0.000676802
